Tipo de Relatório: Medidas Consolidadas;;;;;;;;;;
Tipo de Agente: Conectante | Nome: BARBOSA 1;;;;;;;;;;
Periodo Solicitado de 01/12/2019 até 31/12/2019;;;;;;;;;;
Ponto de Medição;Data de Consolidação;Hora de Consolidação;Tipo de Energia;Ativa Geração (kWh);Ativa Consumo (kWh);Reativa Geração (kVArh);Reativa Consumo (kVArh);Qt Intervalos Faltantes;Situação da Medida;Motivo da Situação
SPASKCENTR101;01/11/2019;1;Liquida;0;63,504;0;31,056;0;Hora Completa Consistente;Consistido
SPASKCENTR101;01/12/2019;1;Liquida;0;63,504;0;31,056;0;Hora Completa Consistente;Consistido
SPASKCENTR101;01/12/2019;2;Liquida;0;63,504;0;31,056;0;Hora Completa Consistente;Consistido
SPASKCENTR101;01/12/2019;3;Liquida;0;67,312;0;33,808;0;Hora Completa Consistente;Consistido
SPASKCENTR101;01/12/2019;4;Liquida;0;62,608;0;31,296;0;Hora Completa Consistente;Consistido
SPASKCENTR101;01/12/2019;5;Liquida;0;61,232;0;30,48;0;Hora Completa Consistente;Consistido
SPASKCENTR101;01/12/2019;6;Liquida;0;83,072;0;36,528;0;Hora Completa Consistente;Consistido
SPASKCENTR101;01/12/2019;7;Liquida;0;95,216;0;44,064;0;Hora Completa Consistente;Consistido
SPASKCENTR101;01/12/2019;8;Liquida;0;90,176;0;42,944;0;Hora Completa Consistente;Consistido
SPASKCENTR101;01/12/2019;9;Liquida;0;98,752;0;45,632;0;Hora Completa Consistente;Consistido
SPASKCENTR101;01/12/2019;10;Liquida;0;101,648;0;42,8;0;Hora Completa Consistente;Consistido
SPASKCENTR101;01/12/2019;11;Liquida;0;100,336;0;42,496;0;Hora Completa Consistente;Consistido
SPASKCENTR101;01/12/2019;12;Liquida;0;97,488;0;41,552;0;Hora Completa Consistente;Consistido
SPASKCENTR101;01/12/2019;13;Liquida;0;102,784;0;45,984;0;Hora Completa Consistente;Consistido
SPASKCENTR101;01/12/2019;14;Liquida;0;101,2;0;44,224;0;Hora Completa Consistente;Consistido
SPASKCENTR101;01/12/2019;15;Liquida;0;102,736;0;46,368;0;Hora Completa Consistente;Consistido
SPASKCENTR101;01/12/2019;16;Liquida;0;94,896;0;47,92;0;Hora Completa Consistente;Consistido
SPASKCENTR101;01/12/2019;17;Liquida;0;92,208;0;44,72;0;Hora Completa Consistente;Consistido
SPASKCENTR101;01/12/2019;18;Liquida;0;92,224;0;45,824;0;Hora Completa Consistente;Consistido
SPASKCENTR101;01/12/2019;19;Liquida;0;98,464;0;47,072;0;Hora Completa Consistente;Consistido
SPASKCENTR101;01/12/2019;20;Liquida;0;87,728;0;40,304;0;Hora Completa Consistente;Consistido
SPASKCENTR101;01/12/2019;21;Liquida;0;82,256;0;36,784;0;Hora Completa Consistente;Consistido
SPASKCENTR101;01/12/2019;22;Liquida;0;73,328;0;33,376;0;Hora Completa Consistente;Consistido
SPASKCENTR101;01/12/2019;23;Liquida;0;58,64;0;30,304;0;Hora Completa Consistente;Consistido
SPASKCENTR101;01/12/2019;24;Liquida;0;59,088;0;30,224;0;Hora Completa Consistente;Consistido
SPASKCENTR101;02/12/2019;1;Liquida;0;57,04;0;28,704;0;Hora Completa Consistente;Consistido
SPASKCENTR101;02/12/2019;2;Liquida;0;56,8;0;28,944;0;Hora Completa Consistente;Consistido
SPASKCENTR101;02/12/2019;3;Liquida;0;54,88;0;28,224;0;Hora Completa Consistente;Consistido
SPASKCENTR101;02/12/2019;4;Liquida;0;57,952;0;29,072;0;Hora Completa Consistente;Consistido
SPASKCENTR101;02/12/2019;5;Liquida;0;53,232;0;27,28;0;Hora Completa Consistente;Consistido
SPASKCENTR101;02/12/2019;6;Liquida;0;71,904;0;30,96;0;Hora Completa Consistente;Consistido
SPASKCENTR101;02/12/2019;7;Liquida;0;83,968;0;35,44;0;Hora Completa Consistente;Consistido
