Tipo de Relatório: Origem de Dados da Coleta.;;;;;;;;;
Tipo de Agente: Conectante | Nome:  BARBOSA 1;;;;;;;;;
Periodo Solicitado: 12/2019;;;;;;;;;
Ponto de Medição;Data;Hora;Tipo de Energia;Ativa Geração (kWh);Ativa Consumo (kWh);Reativa Geração (kVArh);Reativa Consumo (kVArh);Origem da Coleta;Notificação de Coleta
SPCBEDENTR101;01/12/2019;1;Bruta;0;63,36;0;25,872;Coleta Diária;
SPCBEDENTR101;01/12/2019;2;Bruta;0;62,064;0;25,264;Coleta Diária;
SPCBEDENTR101;01/12/2019;3;Bruta;0;65,84;0;27,856;Coleta Diária;
SPCBEDENTR101;01/12/2019;4;Bruta;0;61,184;0;25,552;Coleta Diária;
SPCBEDENTR101;01/12/2019;5;Bruta;0;59,824;0;24,816;Coleta Diária;
SPCBEDENTR101;01/12/2019;6;Bruta;0;81,376;0;29,568;Coleta Diária;
SPCBEDENTR101;01/12/2019;7;Bruta;0;93,344;0;36,144;Coleta Diária;
SPCBEDENTR101;01/12/2019;8;Bruta;0;88,352;0;35,408;Coleta Diária;
SPCBEDENTR101;01/12/2019;9;Bruta;0;96,8;0;37,424;Coleta Diária;
SPCBEDENTR101;01/12/2019;10;Bruta;0;99,664;0;34,448;Coleta Diária;
SPCBEDENTR101;01/12/2019;11;Bruta;0;98,384;0;34,272;Coleta Diária;
SPCBEDENTR101;01/12/2019;12;Bruta;0;95,568;0;33,6;Coleta Diária;
SPCBEDENTR101;01/12/2019;13;Bruta;0;100,784;0;37,472;Coleta Diária;
SPCBEDENTR101;01/12/2019;14;Bruta;0;99,2;0;35,856;Coleta Diária;
SPCBEDENTR101;01/12/2019;15;Bruta;0;100,72;0;37,808;Coleta Diária;
SPCBEDENTR101;01/12/2019;16;Bruta;0;92,992;0;39,952;Coleta Diária;
SPCBEDENTR101;01/12/2019;17;Bruta;0;90,352;0;36,944;Coleta Diária;
SPCBEDENTR101;01/12/2019;18;Bruta;0;90,352;0;37,968;Coleta Diária;
SPCBEDENTR101;01/12/2019;19;Bruta;0;96,496;0;38,784;Coleta Diária;
SPCBEDENTR101;01/12/2019;20;Bruta;0;85,968;0;32,96;Coleta Diária;
SPCBEDENTR101;01/12/2019;21;Bruta;0;80,576;0;29,808;Coleta Diária;
SPCBEDENTR101;01/12/2019;22;Bruta;0;71,776;0;27,056;Coleta Diária;
SPCBEDENTR101;01/12/2019;23;Bruta;0;57,28;0;24,8;Coleta Diária;
SPCBEDENTR101;01/12/2019;24;Bruta;0;57,696;0;24,752;Coleta Diária;
SPCBEDENTR101;02/12/2019;1;Bruta;0;55,696;0;23,344;Coleta Diária;
SPCBEDENTR101;02/12/2019;2;Bruta;0;55,44;0;23,52;Coleta Diária;
SPCBEDENTR101;02/12/2019;3;Bruta;0;53,536;0;22,816;Coleta Diária;
SPCBEDENTR101;02/12/2019;4;Bruta;0;56,56;0;23,504;Coleta Diária;
SPCBEDENTR101;02/12/2019;5;Bruta;0;51,92;0;22,016;Coleta Diária;
SPCBEDENTR101;02/12/2019;6;Bruta;0;70,384;0;24,784;Coleta Diária;
SPCBEDENTR101;02/12/2019;7;Bruta;0;82,272;0;28,48;Coleta Diária;
SPCBEDENTR101;02/12/2019;8;Bruta;0;87,072;0;35,936;Coleta Diária;
SPCBEDENTR101;02/12/2019;9;Bruta;0;93,024;0;35,888;Coleta Diária;
SPCBEDENTR101;02/12/2019;10;Bruta;0;95,504;0;37,664;Coleta Diária;
SPCBEDENTR101;02/12/2019;11;Bruta;0;88,4;0;34,24;Coleta Diária;
SPCBEDENTR101;02/12/2019;12;Bruta;0;93,424;0;35,584;Coleta Diária;
SPCBEDENTR101;02/12/2019;13;Bruta;0;90,544;0;31,296;Coleta Diária;
SPCBEDENTR101;02/12/2019;14;Bruta;0;87,552;0;34,256;Coleta Diária;
SPCBEDENTR101;02/12/2019;15;Bruta;0;86,896;0;35,968;Coleta Diária;
SPCBEDENTR101;02/12/2019;16;Bruta;0;88,704;0;38,352;Coleta Diária;
SPCBEDENTR101;02/12/2019;17;Bruta;0;87,808;0;37,056;Coleta Diária;
SPCBEDENTR101;02/12/2019;18;Bruta;0;82,96;0;35,12;Coleta Diária;
SPCBEDENTR101;02/12/2019;19;Bruta;0;89,568;0;34,784;Coleta Diária;
SPCBEDENTR101;02/12/2019;20;Bruta;0;84,416;0;34,176;Coleta Diária;
SPCBEDENTR101;02/12/2019;21;Bruta;0;78,816;0;31,488;Coleta Diária;
SPCBEDENTR101;02/12/2019;22;Bruta;0;84,448;0;31,728;Coleta Diária;
SPCBEDENTR101;02/12/2019;23;Bruta;0;75,792;0;25,312;Coleta Diária;
SPCBEDENTR101;02/12/2019;24;Bruta;0;61,424;0;23,04;Coleta Diária;
SPCBEDENTR101;03/12/2019;1;Bruta;0;61,424;0;24,496;Coleta Diária;
SPCBEDENTR101;03/12/2019;2;Bruta;0;58,256;0,016;24,064;Coleta Diária;
SPCBEDENTR101;03/12/2019;3;Bruta;0;58,16;0;22,976;Coleta Diária;
SPCBEDENTR101;03/12/2019;4;Bruta;0;55,824;0;22,864;Coleta Diária;
SPCBEDENTR101;03/12/2019;5;Bruta;0;63,248;0;22,32;Coleta Diária;
SPCBEDENTR101;03/12/2019;6;Bruta;0;68,08;0;23,952;Coleta Diária;
SPCBEDENTR101;03/12/2019;7;Bruta;0;82,576;0;26,096;Coleta Diária;
SPCBEDENTR101;03/12/2019;8;Bruta;0;86,72;0;32,272;Coleta Diária;
SPCBEDENTR101;03/12/2019;9;Bruta;0;94,208;0;36,864;Coleta Diária;
SPCBEDENTR101;03/12/2019;10;Bruta;0;90,144;0;35,056;Coleta Diária;
SPCBEDENTR101;03/12/2019;11;Bruta;0;91,728;0;33,456;Coleta Diária;
SPCBEDENTR101;03/12/2019;12;Bruta;0;87,424;0;34,144;Coleta Diária;
SPCBEDENTR101;03/12/2019;13;Bruta;0;93,568;0;38,704;Coleta Diária;
SPCBEDENTR101;03/12/2019;14;Bruta;0;88,816;0;34,528;Coleta Diária;
SPCBEDENTR101;03/12/2019;15;Bruta;0;88,656;0;35,76;Coleta Diária;
SPCBEDENTR101;03/12/2019;16;Bruta;0;90,704;0;34,688;Inspeção Lógica;
SPCBEDENTR101;03/12/2019;17;Bruta;0;86,896;0;35,04;Inspeção Lógica;
SPCBEDENTR101;03/12/2019;18;Bruta;0;84,688;0;35,344;Inspeção Lógica;
SPCBEDENTR101;03/12/2019;19;Bruta;0;84,08;0;34,928;Inspeção Lógica;
SPCBEDENTR101;03/12/2019;20;Bruta;0;87,392;0;33,92;Inspeção Lógica;
SPCBEDENTR101;03/12/2019;21;Bruta;0;84,56;0;34,944;Inspeção Lógica;
SPCBEDENTR101;03/12/2019;22;Bruta;0;88,176;0;32,64;Inspeção Lógica;
SPCBEDENTR101;03/12/2019;23;Bruta;0;73,056;0;26,704;Inspeção Lógica;
SPCBEDENTR101;03/12/2019;24;Bruta;0;64,464;0;25,568;Inspeção Lógica;
SPCBEDENTR101;04/12/2019;1;Bruta;0;55,648;0;23,232;Inspeção Lógica;
SPCBEDENTR101;04/12/2019;2;Bruta;0;60;0;24,384;Inspeção Lógica;
SPCBEDENTR101;04/12/2019;3;Bruta;0;53,36;0;23,056;Inspeção Lógica;
SPCBEDENTR101;04/12/2019;4;Bruta;0;57,76;0;21,968;Inspeção Lógica;
SPCBEDENTR101;04/12/2019;5;Bruta;0;54,096;0;22,352;Inspeção Lógica;
SPCBEDENTR101;04/12/2019;6;Bruta;0;74,432;0;25,104;Inspeção Lógica;
SPCBEDENTR101;04/12/2019;7;Bruta;0;84,64;0;30,752;Inspeção Lógica;
SPCBEDENTR101;04/12/2019;8;Bruta;0;94,272;0;35,088;Inspeção Lógica;
SPCBEDENTR101;04/12/2019;9;Bruta;0;90,08;0;36,272;Inspeção Lógica;
SPCBEDENTR101;04/12/2019;10;Bruta;0;102,176;0;38,992;Inspeção Lógica;
SPCBEDENTR101;04/12/2019;11;Bruta;0;99,616;0;39,232;Inspeção Lógica;
SPCBEDENTR101;04/12/2019;12;Bruta;0;97,984;0;33,936;Inspeção Lógica;
SPCBEDENTR101;04/12/2019;13;Bruta;0;100,48;0;35,408;Inspeção Lógica;
SPCBEDENTR101;04/12/2019;14;Bruta;0;104;0;38,464;Inspeção Lógica;
SPCBEDENTR101;04/12/2019;15;Bruta;0;94,864;0;36,096;Inspeção Lógica;
SPCBEDENTR101;04/12/2019;16;Bruta;0;98,912;0;38,24;Inspeção Lógica;
SPCBEDENTR101;04/12/2019;17;Bruta;0;96,304;0;37,744;Inspeção Lógica;
SPCBEDENTR101;04/12/2019;18;Bruta;0;98,528;0;37,824;Inspeção Lógica;
SPCBEDENTR101;04/12/2019;19;Bruta;0;92,24;0;36,848;Inspeção Lógica;
SPCBEDENTR101;04/12/2019;20;Bruta;0;94,096;0;36,816;Inspeção Lógica;
SPCBEDENTR101;04/12/2019;21;Bruta;0;92,704;0;35,312;Inspeção Lógica;
