Módulo de Análise: Origem de Dados da Coleta;;;;;;;;;
Data de solicitação 04/05/2020;;;;;;;;;
Período Solicitado de 01/03/2020 até 30/04/2020;;;;;;;;;
Agente;Ponto / Grupo;Data;Hora;Ativa C (kWh);Ativa G (kWh);Reativa C (kVArh);Reativa G (kVArh);Qualidade;Origem
TOYOTA;SPTOYTTOYO107 (L);01/04/2020;1;491,4;0;478,8;0;Completo;COLETA DIÁRIA
TOYOTA;SPTOYTTOYO107 (L);01/04/2020;2;488,88;0;534,24;0;Completo;COLETA DIÁRIA
TOYOTA;SPTOYTTOYO107 (L);01/04/2020;3;488,88;0;506,52;0;Completo;COLETA DIÁRIA
TOYOTA;SPTOYTTOYO107 (L);01/04/2020;4;483,84;0;516,6;0;Completo;COLETA DIÁRIA
TOYOTA;SPTOYTTOYO107 (L);01/04/2020;5;486,36;0;511,56;0;Completo;COLETA DIÁRIA
TOYOTA;SPTOYTTOYO107 (L);01/04/2020;6;483,84;0;476,28;0;Completo;COLETA DIÁRIA
TOYOTA;SPTOYTTOYO107 (L);01/04/2020;7;443,52;0;453,6;0;Completo;COLETA DIÁRIA
TOYOTA;SPTOYTTOYO107 (L);01/04/2020;8;441;0;400,68;0;Completo;COLETA DIÁRIA
TOYOTA;SPTOYTTOYO107 (L);01/04/2020;9;448,56;0;272,16;2,52;Completo;COLETA DIÁRIA
TOYOTA;SPTOYTTOYO107 (L);01/04/2020;10;488,88;0;93,24;27,72;Completo;COLETA DIÁRIA
TOYOTA;SPTOYTTOYO107 (L);01/04/2020;11;519,12;0;32,76;52,92;Completo;COLETA DIÁRIA
TOYOTA;SPTOYTTOYO107 (L);01/04/2020;12;521,64;0;70,56;30,24;Completo;COLETA DIÁRIA
TOYOTA;SPTOYTTOYO107 (L);01/04/2020;13;521,64;0;63;40,32;Completo;COLETA DIÁRIA
TOYOTA;SPTOYTTOYO107 (L);01/04/2020;14;524,16;0;2,52;126;Completo;COLETA DIÁRIA
TOYOTA;SPTOYTTOYO107 (L);01/04/2020;15;506,52;0;2,52;83,16;Completo;COLETA DIÁRIA
TOYOTA;SPTOYTTOYO107 (L);01/04/2020;16;501,48;0;27,72;63;Completo;COLETA DIÁRIA
TOYOTA;SPTOYTTOYO107 (L);01/04/2020;17;511,56;0;90,72;30,24;Completo;COLETA DIÁRIA
TOYOTA;SPTOYTTOYO107 (L);01/04/2020;18;506,52;0;252;5,04;Completo;COLETA DIÁRIA
TOYOTA;SPTOYTTOYO107 (L);01/04/2020;19;521,64;0;22,68;131,04;Completo;COLETA DIÁRIA
TOYOTA;SPTOYTTOYO107 (L);01/04/2020;20;524,16;0;0;98,28;Completo;COLETA DIÁRIA
TOYOTA;SPTOYTTOYO107 (L);01/04/2020;21;526,68;0;55,44;42,84;Completo;COLETA DIÁRIA
TOYOTA;SPTOYTTOYO107 (L);01/04/2020;22;536,76;0;257,04;5,04;Completo;COLETA DIÁRIA
TOYOTA;SPTOYTTOYO107 (L);01/04/2020;23;534,24;0;383,04;0;Completo;COLETA DIÁRIA
TOYOTA;SPTOYTTOYO107 (L);01/04/2020;24;534,24;0;446,04;0;Completo;COLETA DIÁRIA
TOYOTA;SPTOYTTOYO107 (L);02/04/2020;1;531,72;0;443,52;0;Completo;COLETA DIÁRIA
TOYOTA;SPTOYTTOYO107 (L);02/04/2020;2;534,24;0;504;0;Completo;COLETA DIÁRIA
TOYOTA;SPTOYTTOYO107 (L);02/04/2020;3;526,68;0;466,2;0;Completo;COLETA DIÁRIA
TOYOTA;SPTOYTTOYO107 (L);02/04/2020;4;521,64;0;385,56;0;Completo;COLETA DIÁRIA
TOYOTA;SPTOYTTOYO107 (L);02/04/2020;5;519,12;0;375,48;0;Completo;COLETA DIÁRIA
TOYOTA;SPTOYTTOYO107 (L);02/04/2020;6;509,04;0;330,12;5,04;Completo;COLETA DIÁRIA
TOYOTA;SPTOYTTOYO107 (L);02/04/2020;7;488,88;0;335,16;0;Completo;COLETA DIÁRIA
TOYOTA;SPTOYTTOYO107 (L);02/04/2020;8;476,28;0;108,36;32,76;Completo;COLETA DIÁRIA
TOYOTA;SPTOYTTOYO107 (L);02/04/2020;9;483,84;0;7,56;100,8;Completo;COLETA DIÁRIA
TOYOTA;SPTOYTTOYO107 (L);02/04/2020;10;504;0;17,64;78,12;Completo;COLETA DIÁRIA
TOYOTA;SPTOYTTOYO107 (L);02/04/2020;11;506,52;0;0;151,2;Completo;COLETA DIÁRIA
TOYOTA;SPTOYTTOYO107 (L);02/04/2020;12;521,64;0;2,52;168,84;Completo;COLETA DIÁRIA
