Módulo de Análise: Origem de Dados da Coleta;;;;;;;;;
Data de solicitação 06/01/2020;;;;;;;;;
Período Solicitado de 01/12/2019 até 31/12/2019;;;;;;;;;
Agente;Ponto / Grupo;Data;Hora;Ativa C (kWh);Ativa G (kWh);Reativa C (kVArh);Reativa G (kVArh);Qualidade;Origem
BARBOSA 1;SPCBEHENTR101 (L);01/12/2019;1;58,304;0;31,424;0;Completo;COLETA DIÁRIA
BARBOSA 1;SPCBEHENTR101 (L);01/12/2019;2;49,744;0;27,088;0;Completo;COLETA DIÁRIA
BARBOSA 1;SPCBEHENTR101 (L);01/12/2019;3;54,256;0;28,352;0;Completo;COLETA DIÁRIA
BARBOSA 1;SPCBEHENTR101 (L);01/12/2019;4;54,912;0;29,024;0;Completo;COLETA DIÁRIA
BARBOSA 1;SPCBEHENTR101 (L);01/12/2019;5;51,232;0;26,144;0;Completo;COLETA DIÁRIA
BARBOSA 1;SPCBEHENTR101 (L);01/12/2019;6;52,4;0;29,088;0;Completo;COLETA DIÁRIA
BARBOSA 1;SPCBEHENTR101 (L);01/12/2019;7;63,392;0;30,48;0;Completo;COLETA DIÁRIA
BARBOSA 1;SPCBEHENTR101 (L);01/12/2019;8;76,864;0;36,528;0;Completo;COLETA DIÁRIA
BARBOSA 1;SPCBEHENTR101 (L);01/12/2019;9;74,096;0;33,504;0;Completo;COLETA DIÁRIA
BARBOSA 1;SPCBEHENTR101 (L);01/12/2019;10;79,312;0;33,536;0;Completo;COLETA DIÁRIA
BARBOSA 1;SPCBEHENTR101 (L);01/12/2019;11;80,592;0;34,288;0;Completo;COLETA DIÁRIA
BARBOSA 1;SPCBEHENTR101 (L);01/12/2019;12;80,736;0;36,8;0;Completo;COLETA DIÁRIA
BARBOSA 1;SPCBEHENTR101 (L);01/12/2019;13;83,728;0;40,24;0;Completo;COLETA DIÁRIA
BARBOSA 1;SPCBEHENTR101 (L);01/12/2019;14;87,712;0;41,136;0;Completo;COLETA DIÁRIA
BARBOSA 1;SPCBEHENTR101 (L);01/12/2019;15;83,328;0;41,024;0;Completo;COLETA DIÁRIA
BARBOSA 1;SPCBEHENTR101 (L);01/12/2019;16;80,048;0;40,032;0;Completo;COLETA DIÁRIA
BARBOSA 1;SPCBEHENTR101 (L);01/12/2019;17;83,344;0;42,32;0;Completo;COLETA DIÁRIA
BARBOSA 1;SPCBEHENTR101 (L);01/12/2019;18;82,928;0;41,648;0;Completo;COLETA DIÁRIA
BARBOSA 1;SPCBEHENTR101 (L);01/12/2019;19;83,888;0;38,464;0;Completo;COLETA DIÁRIA
BARBOSA 1;SPCBEHENTR101 (L);01/12/2019;20;79,024;0;38,288;0;Completo;COLETA DIÁRIA
BARBOSA 1;SPCBEHENTR101 (L);01/12/2019;21;67,056;0;34,816;0;Completo;COLETA DIÁRIA
BARBOSA 1;SPCBEHENTR101 (L);01/12/2019;22;52,88;0;28,784;0;Completo;COLETA DIÁRIA
BARBOSA 1;SPCBEHENTR101 (L);01/12/2019;23;52,464;0;26,032;0;Completo;COLETA DIÁRIA
BARBOSA 1;SPCBEHENTR101 (L);01/12/2019;24;54,144;0;28,656;0;Completo;COLETA DIÁRIA
BARBOSA 1;SPCBEHENTR101 (L);02/12/2019;1;47,872;0;25,312;0;Completo;COLETA DIÁRIA
BARBOSA 1;SPCBEHENTR101 (L);02/12/2019;2;49,104;0;25,824;0;Completo;COLETA DIÁRIA
BARBOSA 1;SPCBEHENTR101 (L);02/12/2019;3;49,808;0;24,544;0;Completo;COLETA DIÁRIA
BARBOSA 1;SPCBEHENTR101 (L);02/12/2019;4;52,304;0;26,672;0;Completo;COLETA DIÁRIA
BARBOSA 1;SPCBEHENTR101 (L);02/12/2019;5;47,536;0;24,912;0;Completo;COLETA DIÁRIA
BARBOSA 1;SPCBEHENTR101 (L);02/12/2019;6;49,44;0;25,504;0;Completo;COLETA DIÁRIA
BARBOSA 1;SPCBEHENTR101 (L);02/12/2019;7;67,568;0;32,16;0;Completo;COLETA DIÁRIA
BARBOSA 1;SPCBEHENTR101 (L);02/12/2019;8;71,136;0;29,888;0;Completo;COLETA DIÁRIA
BARBOSA 1;SPCBEHENTR101 (L);02/12/2019;9;71,04;0;28,976;0;Completo;COLETA DIÁRIA
BARBOSA 1;SPCBEHENTR101 (L);02/12/2019;10;70,752;0;29,28;0;Completo;COLETA DIÁRIA
BARBOSA 1;SPCBEHENTR101 (L);02/12/2019;11;76,784;0;34,4;0;Completo;COLETA DIÁRIA
BARBOSA 1;SPCBEHENTR101 (L);02/12/2019;12;72,576;0;31,12;0;Completo;COLETA DIÁRIA
BARBOSA 1;SPCBEHENTR101 (L);02/12/2019;13;65,808;0;27,104;0;Completo;COLETA DIÁRIA
BARBOSA 1;SPCBEHENTR101 (L);02/12/2019;14;74,256;0;33,712;0;Completo;COLETA DIÁRIA
BARBOSA 1;SPCBEHENTR101 (L);02/12/2019;15;75,568;0;32,304;0;Completo;COLETA DIÁRIA
BARBOSA 1;SPCBEHENTR101 (L);02/12/2019;16;67,744;0;29,056;0;Completo;COLETA DIÁRIA
