Módulo de Análise: Origem de Dados da Coleta;;;;;;
Data de solicitação 26/02/2020;;;;;;
Período Solicitado de 01/01/2020 até 31/01/2020;;;;;;
Agente;Ponto / Grupo;Data;Hora;Ativa C (kWh);Qualidade;Origem;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;1;100,75;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;2;100,965;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;3;99,189;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;4;101,555;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;5;94,584;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;6;103,929;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;7;101,281;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;8;98,688;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;9;103,244;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;10;105,42;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;11;101,733;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;12;108,414;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;13;111,607;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;14;109,469;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;15;115,09;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;16;110,882;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;17;103,477;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;18;103,092;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;19;104,515;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;20;98,353;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;21;103,768;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;22;105,581;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;23;100,77;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;24;98,86;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);02/01/2020;1;98,949;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);02/01/2020;2;97,839;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);02/01/2020;3;98,545;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);02/01/2020;4;98,91;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);02/01/2020;5;97,632;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);02/01/2020;6;105,79;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);02/01/2020;7;136,413;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);02/01/2020;8;134,644;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);02/01/2020;9;141,398;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);02/01/2020;10;149,017;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);02/01/2020;11;142,035;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);02/01/2020;12;153,463;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);02/01/2020;13;151,272;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);02/01/2020;14;152,45;Completo;COLETA DIÁRIA;
