"Módulo de Análise: Origem de Dados da Coleta";
"Data de solicitação 06/01/2020";
"Período Solicitado de 01/01/2020 até 31/01/2020";
"Agente";"Ponto / Grupo";"Data";"Hora";"Ativa C (kWh)";"Ativa G (kWh)";"Reativa C (kVArh)";"Reativa G (kVArh)";"Qualidade";"Origem";
"EMBALATEC MOGI";"SPEBMCENTR101 (L)";01/01/2020;1;105,651;0,000;37,422;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC MOGI";"SPEBMCENTR101 (L)";01/01/2020;2;105,525;0,000;37,422;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC MOGI";"SPEBMCENTR101 (L)";01/01/2020;3;106,344;0,000;36,288;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC MOGI";"SPEBMCENTR101 (L)";01/01/2020;4;101,871;0,000;33,390;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC MOGI";"SPEBMCENTR101 (L)";01/01/2020;5;108,297;0,000;38,115;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC MOGI";"SPEBMCENTR101 (L)";01/01/2020;6;103,698;0,000;39,627;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC MOGI";"SPEBMCENTR101 (L)";01/01/2020;7;132,741;0,000;56,637;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC MOGI";"SPEBMCENTR101 (L)";01/01/2020;8;148,869;0,000;60,417;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC MOGI";"SPEBMCENTR101 (L)";01/01/2020;9;152,145;0,000;57,519;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC MOGI";"SPEBMCENTR101 (L)";01/01/2020;10;140,994;0,000;52,542;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC MOGI";"SPEBMCENTR101 (L)";01/01/2020;11;137,277;0,000;53,802;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC MOGI";"SPEBMCENTR101 (L)";01/01/2020;12;128,016;0,000;50,337;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC MOGI";"SPEBMCENTR101 (L)";01/01/2020;13;12,096;0,000;21,168;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC MOGI";"SPEBMCENTR101 (L)";01/01/2020;14;6,993;0,000;20,979;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC MOGI";"SPEBMCENTR101 (L)";01/01/2020;15;6,804;0,000;22,743;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC MOGI";"SPEBMCENTR101 (L)";01/01/2020;16;6,741;0,000;22,428;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC MOGI";"SPEBMCENTR101 (L)";01/01/2020;17;6,552;0,000;21,483;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC MOGI";"SPEBMCENTR101 (L)";01/01/2020;18;6,552;0,000;22,680;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC MOGI";"SPEBMCENTR101 (L)";01/01/2020;19;7,371;0,000;21,420;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC MOGI";"SPEBMCENTR101 (L)";01/01/2020;20;10,458;0,000;16,191;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC MOGI";"SPEBMCENTR101 (L)";01/01/2020;21;10,206;0,000;17,514;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC MOGI";"SPEBMCENTR101 (L)";01/01/2020;22;10,080;0,000;16,317;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC MOGI";"SPEBMCENTR101 (L)";01/01/2020;23;35,658;0,000;19,089;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC MOGI";"SPEBMCENTR101 (L)";01/01/2020;24;121,716;0,000;36,855;0,000;"Completo";"COLETA DIÁRIA";
