"Módulo de Análise: Origem de Dados da Coleta";
"Data de solicitação 06/01/2020";
"Período Solicitado de 01/01/2020 até 31/01/2020";
"Agente";"Ponto / Grupo";"Data";"Hora";"Ativa C (kWh)";"Ativa G (kWh)";"Reativa C (kVArh)";"Reativa G (kVArh)";"Qualidade";"Origem";
"EMBALATEC SALTO";"SPEBLSENTR101 (L)";01/01/2020;1;11,890;0,000;10,600;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC SALTO";"SPEBLSENTR101 (L)";01/01/2020;2;11,960;0,000;10,640;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC SALTO";"SPEBLSENTR101 (L)";01/01/2020;3;11,880;0,000;10,880;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC SALTO";"SPEBLSENTR101 (L)";01/01/2020;4;12,000;0,000;11,060;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC SALTO";"SPEBLSENTR101 (L)";01/01/2020;5;11,850;0,000;10,930;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC SALTO";"SPEBLSENTR101 (L)";01/01/2020;6;9,240;0,000;5,060;0,720;"Completo";"COLETA DIÁRIA";
"EMBALATEC SALTO";"SPEBLSENTR101 (L)";01/01/2020;7;6,930;0,000;0,030;1,960;"Completo";"COLETA DIÁRIA";
"EMBALATEC SALTO";"SPEBLSENTR101 (L)";01/01/2020;8;21,540;0,000;6,950;0,690;"Completo";"COLETA DIÁRIA";
"EMBALATEC SALTO";"SPEBLSENTR101 (L)";01/01/2020;9;25,660;0,000;8,610;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC SALTO";"SPEBLSENTR101 (L)";01/01/2020;10;25,500;0,000;10,050;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC SALTO";"SPEBLSENTR101 (L)";01/01/2020;11;19,530;0,000;7,550;0,910;"Completo";"COLETA DIÁRIA";
"EMBALATEC SALTO";"SPEBLSENTR101 (L)";01/01/2020;12;6,490;0,000;0,000;2,140;"Completo";"COLETA DIÁRIA";
"EMBALATEC SALTO";"SPEBLSENTR101 (L)";01/01/2020;13;6,530;0,000;0,000;1,920;"Completo";"COLETA DIÁRIA";
"EMBALATEC SALTO";"SPEBLSENTR101 (L)";01/01/2020;14;6,700;0,000;0,000;1,850;"Completo";"COLETA DIÁRIA";
"EMBALATEC SALTO";"SPEBLSENTR101 (L)";01/01/2020;15;6,770;0,000;0,000;1,690;"Completo";"COLETA DIÁRIA";
"EMBALATEC SALTO";"SPEBLSENTR101 (L)";01/01/2020;16;7,120;0,000;0,000;1,650;"Completo";"COLETA DIÁRIA";
"EMBALATEC SALTO";"SPEBLSENTR101 (L)";01/01/2020;17;7,310;0,000;0,000;1,770;"Completo";"COLETA DIÁRIA";
"EMBALATEC SALTO";"SPEBLSENTR101 (L)";01/01/2020;18;7,130;0,000;0,000;1,540;"Completo";"COLETA DIÁRIA";
"EMBALATEC SALTO";"SPEBLSENTR101 (L)";01/01/2020;19;8,720;0,000;0,080;1,220;"Completo";"COLETA DIÁRIA";
