"Módulo de Análise: Origem de Dados da Coleta";
"Data de solicitação 06/01/2020";
"Período Solicitado de 01/01/2020 até 31/01/2020";
"Agente";"Ponto / Grupo";"Data";"Hora";"Ativa C (kWh)";"Ativa G (kWh)";"Reativa C (kVArh)";"Reativa G (kVArh)";"Qualidade";"Origem";
"EMBALATEC";"SPEBITENTR101 (L)";01/01/2020;1;243,630;0,000;67,254;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";01/01/2020;2;245,401;0,000;68,979;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";01/01/2020;3;239,370;0,000;64,944;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";01/01/2020;4;239,487;0,000;66,406;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";01/01/2020;5;236,572;0,000;62,983;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";01/01/2020;6;237,699;0,000;72,315;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";01/01/2020;7;231,620;0,000;68,385;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";01/01/2020;8;236,127;0,000;71,994;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";01/01/2020;9;226,176;0,000;64,641;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";01/01/2020;10;230,173;0,000;73,185;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";01/01/2020;11;225,732;0,000;59,894;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";01/01/2020;12;228,948;0,000;53,778;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";01/01/2020;13;230,199;0,000;56,013;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";01/01/2020;14;223,328;0,000;56,769;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";01/01/2020;15;220,250;0,000;55,892;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";01/01/2020;16;202,782;0,000;47,206;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";01/01/2020;17;197,057;0,000;40,263;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";01/01/2020;18;196,238;0,000;40,700;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";01/01/2020;19;201,316;0,000;43,029;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";01/01/2020;20;206,698;0,000;45,494;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";01/01/2020;21;205,040;0,000;40,793;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";01/01/2020;22;205,893;0,000;47,150;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";01/01/2020;23;207,123;0,000;45,512;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";01/01/2020;24;205,072;0,000;41,842;0,088;"Completo";"COLETA DIÁRIA";
