"Módulo de Análise: Origem de Dados da Coleta";
"Data de solicitação 06/01/2020";
"Período Solicitado de 01/12/2019 até 31/12/2019";
"Agente";"Ponto / Grupo";"Data";"Hora";"Ativa C (kWh)";"Ativa G (kWh)";"Reativa C (kVArh)";"Reativa G (kVArh)";"Qualidade";"Origem";
"PAJUÇARA";"ALPJCMENTR101 (L)";01/12/2019;1;229,236;0,000;155,652;0,000;"Completo";"COLETA DIÁRIA";
"PAJUÇARA";"ALPJCMENTR101 (L)";01/12/2019;2;262,584;0,000;173,964;0,000;"Completo";"COLETA DIÁRIA";
"PAJUÇARA";"ALPJCMENTR101 (L)";01/12/2019;3;232,512;0,000;145,740;0,000;"Completo";"COLETA DIÁRIA";
"PAJUÇARA";"ALPJCMENTR101 (L)";01/12/2019;4;230,412;0,000;143,892;0,000;"Completo";"COLETA DIÁRIA";
"PAJUÇARA";"ALPJCMENTR101 (L)";01/12/2019;5;214,872;0,000;137,928;0,000;"Completo";"COLETA DIÁRIA";
"PAJUÇARA";"ALPJCMENTR101 (L)";01/12/2019;6;200,340;0,000;127,344;0,000;"Completo";"COLETA DIÁRIA";
"PAJUÇARA";"ALPJCMENTR101 (L)";01/12/2019;7;164,136;0,000;107,520;0,000;"Completo";"COLETA DIÁRIA";
"PAJUÇARA";"ALPJCMENTR101 (L)";01/12/2019;8;158,928;0,000;103,656;0,000;"Completo";"COLETA DIÁRIA";
"PAJUÇARA";"ALPJCMENTR101 (L)";01/12/2019;9;127,512;0,000;89,292;0,000;"Completo";"COLETA DIÁRIA";
"PAJUÇARA";"ALPJCMENTR101 (L)";01/12/2019;10;91,560;0,000;62,244;0,000;"Completo";"COLETA DIÁRIA";
"PAJUÇARA";"ALPJCMENTR101 (L)";01/12/2019;11;94,248;0,000;62,244;0,000;"Completo";"COLETA DIÁRIA";
"PAJUÇARA";"ALPJCMENTR101 (L)";01/12/2019;12;124,908;0,000;82,488;0,000;"Completo";"COLETA DIÁRIA";
"PAJUÇARA";"ALPJCMENTR101 (L)";01/12/2019;13;146,916;0,000;98,952;0,000;"Completo";"COLETA DIÁRIA";
"PAJUÇARA";"ALPJCMENTR101 (L)";01/12/2019;14;147,840;0,000;100,128;0,000;"Completo";"COLETA DIÁRIA";
"PAJUÇARA";"ALPJCMENTR101 (L)";01/12/2019;15;137,760;0,000;94,080;0,000;"Completo";"COLETA DIÁRIA";
"PAJUÇARA";"ALPJCMENTR101 (L)";01/12/2019;16;145,656;0,000;100,380;0,000;"Completo";"COLETA DIÁRIA";
"PAJUÇARA";"ALPJCMENTR101 (L)";01/12/2019;17;142,464;0,000;100,128;0,000;"Completo";"COLETA DIÁRIA";
"PAJUÇARA";"ALPJCMENTR101 (L)";01/12/2019;18;124,824;0,000;89,964;0,000;"Completo";"COLETA DIÁRIA";
"PAJUÇARA";"ALPJCMENTR101 (L)";01/12/2019;19;122,976;0,000;86,100;0,000;"Completo";"COLETA DIÁRIA";
"PAJUÇARA";"ALPJCMENTR101 (L)";01/12/2019;20;136,332;0,000;93,744;0,000;"Completo";"COLETA DIÁRIA";
"PAJUÇARA";"ALPJCMENTR101 (L)";01/12/2019;21;130,956;0,000;96,768;0,000;"Completo";"COLETA DIÁRIA";
"PAJUÇARA";"ALPJCMENTR101 (L)";01/12/2019;22;134,736;0,000;101,052;0,000;"Completo";"COLETA DIÁRIA";
"PAJUÇARA";"ALPJCMENTR101 (L)";01/12/2019;23;125,580;0,000;96,096;0,000;"Completo";"COLETA DIÁRIA";
"PAJUÇARA";"ALPJCMENTR101 (L)";01/12/2019;24;134,652;0,000;103,656;0,000;"Completo";"COLETA DIÁRIA";
"PAJUÇARA";"ALPJCMENTR101 (L)";02/12/2019;1;118,608;0,000;92,820;0,000;"Completo";"COLETA DIÁRIA";
"PAJUÇARA";"ALPJCMENTR101 (L)";02/12/2019;2;134,400;0,000;105,000;0,000;"Completo";"COLETA DIÁRIA";
"PAJUÇARA";"ALPJCMENTR101 (L)";02/12/2019;3;134,904;0,000;108,528;0,000;"Completo";"COLETA DIÁRIA";
"PAJUÇARA";"ALPJCMENTR101 (L)";02/12/2019;4;125,496;0,000;92,652;0,000;"Completo";"COLETA DIÁRIA";
"PAJUÇARA";"ALPJCMENTR101 (L)";02/12/2019;5;121,128;0,000;90,972;0,000;"Completo";"COLETA DIÁRIA";
"PAJUÇARA";"ALPJCMENTR101 (L)";02/12/2019;6;130,620;0,000;99,876;0,000;"Completo";"COLETA DIÁRIA";
"PAJUÇARA";"ALPJCMENTR101 (L)";02/12/2019;7;162,372;0,000;114,408;0,000;"Completo";"COLETA DIÁRIA";
