Tipo de Relatório: Medidas Consolidadas
Tipo de Agente: Conectante | TODOS AGENTES SELECIONADOS PELO USUÁRIO
Período Solicitado de 01/09/2019 até 30/09/2019
Ponto de Medição;Data de Consolidação;Hora de Consolidação;Tipo de Energia;Ativa Geração;Ativa Consumo;Reativa Geração;Reativa Consumo;Qt Intervalos Faltantes;Situação da Medida;Motivo da Situação
SPCNCRENTR101;2019-09-01;1;Liquida;0,0;10,98;41,92;25,83;0;Hora Completa Consistente;Consistido
SPCNCRENTR101;2019-09-01;2;Liquida;0,0;10,94;0,0;25,93;0;Hora Completa Consistente;Consistido
SPCNCRENTR101;2019-09-01;3;Liquida;0,0;11,1;0,0;27,49;0;Hora Completa Consistente;Consistido
SPCNCRENTR101;2019-09-01;4;Liquida;0,0;11,13;0,0;27,94;0;Hora Completa Consistente;Consistido
SPCNCRENTR101;2019-09-01;5;Liquida;0,0;11,06;0,0;28,12;0;Hora Completa Consistente;Consistido
SPCNCRENTR101;2019-09-01;6;Liquida;0,0;11,15;0,0;28,19;0;Hora Completa Consistente;Consistido
SPCNCRENTR101;2019-09-01;7;Liquida;0,0;11,01;522,73;2,77;0;Hora Completa Consistente;Consistido
SPCNCRENTR101;2019-09-01;8;Liquida;0,0;10,94;571,18;0,0;0;Hora Completa Consistente;Consistido
SPCNCRENTR101;2019-09-01;9;Liquida;0,0;15,4;552,03;0,0;0;Hora Completa Consistente;Consistido
SPCNCRENTR101;2019-09-01;10;Liquida;0,0;32,81;508,62;0,0;0;Hora Completa Consistente;Consistido
SPCNCRENTR101;2019-09-01;11;Liquida;0,0;33,04;505,71;0,0;0;Hora Completa Consistente;Consistido
SPCNCRENTR101;2019-09-01;12;Liquida;0,0;33,5;506,2;0,0;0;Hora Completa Consistente;Consistido
SPCNCRENTR101;2019-09-01;13;Liquida;0,0;33,99;504,73;0,0;0;Hora Completa Consistente;Consistido
SPCNCRENTR101;2019-09-01;14;Liquida;0,0;34,33;505,22;0,0;0;Hora Completa Consistente;Consistido
